1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
353	-1.073037	186.134883	28.819885	0.004132	1.4
354	-1.059207	185.876517	28.855878	0.003869	1.3
355	-1.060890	185.618151	28.891961	0.003672	1.4
356	-1.058337	186.617813	28.752848	0.006964	1.4
357	-1.059097	187.570991	28.621446	0.007039	1.2
358	-1.055693	187.312625	28.656945	0.004399	1.2
359	-1.074146	187.054259	28.692532	0.006904	1.2
360	-1.079532	186.795892	28.728207	0.005701	1.2
361	-1.086954	186.537526	28.763971	0.007181	1.6
362	-1.064810	186.279160	28.799825	0.004240	1.3
363	-1.042509	187.279155	28.661550	0.004938	2.0
364	-1.060903	188.278146	28.524734	0.007373	1.9
365	-1.049573	189.278146	28.389082	0.007197	1.4
366	-1.058105	189.024721	28.423337	0.005890	1.3
367	-1.063797	190.024720	28.288645	0.009826	1.8
368	-1.068425	191.024720	28.155224	0.009146	1.2
369	-1.056063	192.024720	28.023055	0.006633	1.3
370	-1.042321	193.024720	27.892121	0.007233	1.2
371	-1.077687	194.024720	27.762406	0.004815	1.2
372	-1.047291	195.024720	27.633891	0.006537	1.1
373	-1.060524	196.024720	27.506560	0.004373	1.2
374	-1.050229	195.766353	27.539345	0.005335	1.6
375	-1.084684	196.766352	27.412883	0.004583	1.3
376	-1.065526	196.507986	27.445445	0.003889	1.2
377	-1.065012	196.249621	27.478085	0.008564	1.2
378	-1.051182	195.991254	27.510802	0.003483	1.2
379	-1.079960	196.991254	27.384601	0.002102	1.2
380	-1.087829	197.435777	27.328872	0.004575	1.2
381	-1.069164	198.402517	27.208455	0.006650	1.5
382	-1.086396	198.144160	27.240532	0.006393	1.1
383	-1.051962	199.144160	27.116792	0.004585	1.2
384	-1.052373	200.144154	26.994173	0.006455	1.2
385	-1.069360	199.887183	27.025577	0.006815	2.0
386	-1.072440	200.887183	26.903778	0.004850	1.5
387	-1.024801	201.876149	26.784398	0.004181	1.7
388	-1.070688	202.875328	26.664856	0.005637	2.0
389	-1.076609	203.019930	26.647645	0.004248	1.5
390	-1.028977	203.310581	26.613116	0.002992	1.3
391	-1.068277	204.310560	26.495001	0.007098	1.3
392	-1.074820	204.799593	26.437618	0.006071	1.2
393	-1.058443	205.799504	26.321061	0.003444	1.3
394	-1.046850	206.798722	26.205606	0.004466	1.2
395	-1.042885	206.677849	26.219518	0.003956	1.2
396	-1.075034	206.419485	26.249305	0.005400	1.1
397	-1.058733	206.161120	26.279160	0.004393	1.3
398	-1.069792	205.902754	26.309083	0.003243	1.2
399	-1.051169	205.649737	26.338453	0.005011	1.2
400	-1.047774	206.465148	26.244036	0.007002	1.2
401	-1.075695	206.206782	26.273879	0.004210	1.1
402	-1.049167	205.948461	26.303785	0.003847	1.2
403	-1.036867	205.700538	26.332551	0.004171	1.2
404	-1.058769	205.472863	26.359023	0.004050	1.1
405	-1.023941	205.584567	26.346029	0.005751	1.1
406	-1.067169	205.326200	26.376104	0.004283	1.1
407	-1.075715	206.326200	26.260077	0.004968	1.2
408	-1.027094	207.326137	26.145073	0.004172	1.1
409	-1.083926	207.104208	26.170510	0.004861	1.6
410	-1.081703	208.104191	26.056282	0.006052	1.7
411	-1.048036	207.845878	26.085694	0.003369	2.2
412	-1.053624	208.845876	25.972202	0.007418	2.2
413	-1.066377	208.587541	26.001426	0.005888	1.7
414	-1.050975	208.329175	26.030720	0.007734	1.8
415	-1.069051	208.070809	26.060079	0.006766	1.5
416	-1.057117	209.070809	25.946810	0.007576	1.6
417	-1.069887	208.813084	25.975908	0.004462	1.4
418	-1.044963	209.813081	25.863367	0.003256	1.3
419	-1.075208	210.755767	25.758166	0.008331	1.3
420	-1.089292	211.755767	25.647500	0.007060	1.2
421	-1.059418	212.755767	25.537781	0.005372	1.6
422	-1.053891	213.727013	25.432111	0.005520	1.3
423	-1.069889	213.468647	25.460135	0.003983	1.3
424	-1.060982	214.468647	25.352010	0.005541	1.6
425	-1.044837	214.218432	25.378978	0.005493	1.2
426	-1.053428	215.218432	25.271540	0.003489	1.2
427	-1.067120	216.218432	25.165007	0.003556	1.2
428	-1.058648	215.960182	25.192433	0.005278	1.2
429	-1.068884	216.936459	25.089066	0.004914	1.2
430	-1.060975	217.936458	24.984063	0.004116	2.0
431	-1.027242	217.819399	24.996309	0.007080	1.4
432	-1.049377	217.561990	25.023280	0.005570	2.0
433	-1.050496	217.303672	25.050405	0.003729	1.8
434	-1.043596	218.303656	24.945726	0.005138	1.9
435	-1.064141	218.045290	24.972688	0.006583	1.5
436	-1.054024	219.045290	24.868655	0.005482	1.3
437	-1.087162	218.786923	24.895450	0.005546	1.3
438	-1.064739	218.528557	24.922304	0.003818	1.3
439	-1.047252	219.528541	24.818691	0.005839	1.2
440	-1.021340	219.627801	24.808453	0.003803	1.2
441	-1.039002	219.369435	24.835119	0.005651	1.2
442	-1.052839	219.362377	24.835848	0.005827	1.2
443	-1.089566	219.988797	24.771290	0.004076	1.5
444	-1.055206	219.730433	24.797876	0.005421	2.9
445	-1.066210	220.730431	24.695292	0.006336	1.2
446	-1.049713	221.730431	24.593552	0.005218	1.4
447	-1.034429	222.730429	24.492647	0.005556	1.3
448	-1.037111	223.728624	24.392747	0.006687	1.3
449	-1.078524	223.470258	24.418526	0.003440	1.7
450	-1.074102	224.470257	24.319050	0.007731	1.3
451	-1.031542	225.431428	24.224197	0.005416	1.9
452	-1.045615	225.173062	24.249621	0.004297	1.4
453	-1.066162	224.960193	24.270608	0.004648	1.7
454	-1.061592	224.706211	24.295696	0.005622	1.8
455	-1.047993	225.706211	24.197216	0.005265	2.0
456	-1.043378	226.706209	24.099531	0.004678	2.0
457	-1.072005	227.706209	24.002631	0.004545	1.8
458	-1.071384	227.447843	24.027592	0.005051	1.7
459	-1.089708	227.189492	24.052604	0.005286	1.6
460	-1.052214	226.978167	24.073101	0.006763	1.8
461	-1.083049	227.978167	23.976413	0.004372	1.4
462	-1.086698	227.719801	24.001320	0.006625	1.5
463	-1.022938	227.461542	24.026268	0.004058	1.4
464	-1.061755	227.212920	24.050333	0.006616	1.3
465	-1.049252	227.038034	24.067291	0.004774	1.6
466	-1.053863	226.779667	24.092386	0.004748	1.3
467	-1.052596	226.521301	24.117534	0.004782	1.3
468	-1.057689	226.306664	24.138466	0.004355	1.3
469	-1.055348	227.306445	24.041275	0.004969	1.3
470	-1.042007	227.048079	24.066316	0.005251	1.5
471	-1.035815	228.048079	23.969683	0.003008	1.6
472	-1.072653	228.421545	23.933792	0.003843	1.6
473	-1.087404	229.200397	23.859289	0.003974	1.8
474	-1.038119	228.947277	23.883451	0.005204	1.7
475	-1.062738	229.940779	23.788894	0.002930	1.3
476	-1.053782	229.682413	23.813412	0.001548	1.3
477	-1.040626	230.439890	23.741672	0.002980	1.4
478	-1.049129	230.366153	23.748637	0.005727	1.3
479	-1.061163	231.355292	23.655551	0.007051	1.3
480	-1.056281	231.127490	23.676924	0.006180	1.2
